code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
000606,ST顺利,19.9614,9.0174,517032.0007,0.0003,3.2182,55.9319
002400,省广集团,2.219,81.1176,57747.275,0.0031,1.0807,166.5587
000526,学大教育,34.7447,5.1806,20462.8677,0.0088,0.9678,185.9888
000676,智度股份,3.8652,46.5694,11154.4273,0.0161,1.1673,154.202
000429,粤高速A,5.0953,35.3267,4693.4099,0.0384,0.213,845.0704
002647,仁东控股,3.3744,53.3428,4519.0517,0.0398,0.6479,277.8207
002973,侨银股份,2.2834,78.8298,4151.5442,0.0434,0.8904,202.1563
002039,黔源电力,4.8972,36.7557,3494.7529,0.0515,1.3241,135.9414
300770,新媒股份,2.9214,61.6143,3083.7891,0.0584,0.2329,772.8639
600093,*ST易见,25.8475,6.9639,2330.2872,0.0772,0.3156,570.3422
000503,国新健康,2.1105,85.2878,2312.1633,0.0778,0.0389,4627.2494
300467,迅游科技,15.0357,11.9715,1805.1403,0.0997,0.2614,688.5998
300675,建科院,0.9662,186.2968,1785.6011,0.1008,0.2906,619.4081
300746,汉嘉设计,1.7554,102.5407,1667.8981,0.1079,0.8956,200.9826
600556,天下秀,1.5441,116.5728,1658.5816,0.1085,0.7177,250.8012
300494,盛天网络,2.0736,86.8056,1428.8062,0.126,0.4192,429.3893
000415,渤海租赁,3.7804,47.614,1138.2728,0.1581,0.5783,311.2571
601619,嘉泽新能,0.319,564.2633,1076.5591,0.1672,0.2702,666.1732
300377,赢时胜,0.4705,382.5717,780.5532,0.2306,0.2568,700.9346
600897,厦门空港,2.1957,81.9784,739.0785,0.2435,0.3312,543.4783
603569,长久物流,1.1642,154.6126,721.4499,0.2495,0.5259,342.2704
002659,凯文教育,2.2183,81.1432,711.1349,0.2531,0.1299,1385.6813
601519,大智慧,3.4644,51.957,683.1068,0.2635,0.1903,945.8749
300347,泰格医药,1.9523,92.1989,598.2586,0.3009,0.4036,445.9861
002027,分众传媒,1.2057,149.2909,551.6158,0.3263,0.3885,463.3205
603056,德邦股份,6.0029,29.9855,526.4223,0.3419,2.2127,81.3486
002968,新大正,3.4025,52.9023,523.62,0.3438,0.6852,262.697
600452,涪陵电力,3.7436,48.0821,506.5482,0.3553,1.9317,93.1822
603813,原尚股份,0.7511,239.6485,476.9701,0.3774,0.5521,326.0279
300383,光环新网,1.9936,90.2889,375.4596,0.4794,0.985,182.7411
002148,北纬科技,2.9367,61.2933,357.3563,0.5037,0.13,1384.6154
002123,梦网科技,1.1595,155.2393,354.8782,0.5072,0.4389,410.1162
600705,中航产融,18.3915,9.7871,337.089,0.534,0.0256,7031.25
601598,中国外运,3.6663,49.0958,319.7122,0.563,1.5104,119.1737
002468,申通快递,9.5687,18.8113,287.2151,0.6267,1.3687,131.5117
300017,网宿科技,1.7788,101.1918,277.1572,0.6495,0.5256,342.4658
603967,中创物流,4.02,44.7761,259.5295,0.6936,1.3167,136.7054
