code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
601956,东贝集团,0.1,,,3.51,,3131.42,,,08-31
001211,双枪科技,0.35,,,4.7,,1863.5,,,08-30
601156,东航物流,0.9,,,32.49,,128153.42,,,08-28
600032,浙江新能,0.09,-75.26,,2.71,,17252.72,-40.65,,08-28
603529,爱玛科技,0.99,67.8,,15.22,,33512.81,67.38,,08-28
605196,华通线缆,0.2,,,5.11,,8481.98,,,08-28
688499,利元亨,0.14,,,1.09,,900.9,,,08-27
688718,唯赛勃,0.14,,,4.28,,1781.58,,,08-27
688601,力芯微,0.62,,,10.66,,2995.28,,,08-27
605287,德才股份,1.25,50.6,,15.34,,9373.86,49.98,,08-27
605319,无锡振华,0.23,,,3.22,,3464.4,,,08-27
301045,天禄科技,0.58,,,15.77,,4505.36,,,08-27
688701,卓锦股份,-0.14,,,-5.67,,-1364.3,,,08-27
603171,税友股份,0.24,,,5.65,,8930.77,,,08-26
605011,杭州热电,0.23,,,6.01,,8225.8,,,08-26
301004,嘉益股份,0.39,,,8.75,,2951.52,,,08-26
300992,泰福泵业,0.57,,,9.7,,3854.23,,,08-26
688071,华依科技,-0.3,,,-9.97,,-1615.57,,,08-25
601528,瑞丰银行,0.34,,,4.44,,46055.4,,,08-25
605028,世茂能源,0.34,3.03,,12.33,,4128.98,2.78,,08-25
003043,华亚智能,0.63,,,10.66,,3752.0,,,08-25
688690,纳微科技,0.07,,,5.07,,2384.84,,,08-23
688597,煜邦电力,-0.12,,,-3.13,,-1484.54,,,08-20
688621,阳光诺和,0.68,,,29.8,,4084.91,,,08-20
688087,英科再生,1.13,,,14.1,,11198.69,,,08-20
605162,新中港,0.19,,,12.3,,6246.98,,,08-20
688303,大全能源,0.22,,,8.85,,30958.48,,,08-19
605089,味知香,0.7,37.25,,17.89,,5233.15,37.27,,08-19
688121,卓然股份,0.16,,,,,2425.15,,,08-18
688187,时代电气,0.59,,,3.09,,68815.02,,,08-18
605339,南侨食品,0.33,,,6.53,,11985.92,,,08-13
688787,海天瑞声,1.45,,,12.29,1.17,4660.12,,,08-12
688091,上海谊众,,,,,,-993.78,,,08-12
301050,雷电微力,1.08,,,,,7868.19,,,08-06
688707,振华新材,,,,,,-15029.02,,,08-03
688766,普冉股份,1.0,,,,,2669.53,,,08-02
605069,正和生态,0.09,,,,,1141.12,,,07-28
605117,德业股份,1.34,,,28.43,0.88,17128.85,,,03-30
601279,英利汽车,0.02,-66.67,2.31,0.82,0.34,2542.74,-69.64,,03-25
605378,野马电池,0.4,,5.05,7.77,0.54,3975.7,,,03-22
605086,龙高股份,0.3,-11.76,5.57,5.59,0.44,2907.34,-12.16,,03-09
605286,同力日升,0.44,,5.25,8.76,-0.15,5552.12,,,03-02
605389,长龄液压,1.59,,8.16,19.48,0.95,11613.61,,,03-02
688161,威高骨科,0.75,,6.02,13.35,1.01,26778.72,,,02-19
605122,四方新材,1.11,19.35,9.54,12.44,1.13,10274.45,20.38,,02-18
605208,永茂泰,0.49,,8.07,6.26,0.31,6903.86,,,02-09
603759,海天股份,0.23,,,4.78,0.36,5325.05,,,02-09
003039,顺控发展,0.17,-10.53,2.81,6.17,0.41,9713.78,-7.67,,02-08
605060,联德股份,0.42,,4.76,9.31,0.51,7602.73,,,02-03
001210,金房节能,1.32,,,19.2,-1.66,8992.3,,,02-02
605298,必得科技,0.49,,5.8,8.16,0.09,4001.73,,,02-02
001208,华菱线缆,0.05,,,2.61,-0.49,2062.29,,,02-02
605268,王力安防,0.16,-5.88,2.49,6.68,0.46,5951.18,-5.3,,01-28
605081,太和水,0.93,25.68,14.71,6.53,-0.85,5452.02,25.87,,01-26
605133,嵘泰股份,0.53,-14.52,6.53,8.3,1.34,6377.31,-14.12,,01-26
605259,绿田机械,0.9,,9.2,10.26,0.51,5924.03,,,01-20
605598,上海港湾,0.33,,6.36,5.33,0.29,4298.82,,,01-20
600916,中国黄金,0.09,,3.23,2.93,0.52,13975.03,,,01-19
605337,李子园,0.71,22.41,5.15,14.8,0.42,8233.96,22.66,,01-19
688305,科德数控,0.08,,7.62,1.04,-0.08,535.82,,,01-19
003037,三和管桩,0.34,100.0,2.6,14.07,0.16,14866.88,97.64,,01-18
001205,盛航股份,0.5,,7.45,6.99,0.36,4537.77,,,01-14
001209,洪兴股份,0.76,,6.7,12.05,0.84,5365.87,,,01-14
603836,海程邦达,0.62,,4.98,12.49,-0.01,9598.68,,,01-14
605055,迎丰股份,0.09,-30.77,1.92,4.56,0.16,3079.49,-32.61,,01-12
605303,园林股份,0.36,-45.45,8.1,4.48,-0.21,4406.22,-44.51,,01-12
003036,泰坦股份,0.1,,4.83,2.2,0.08,1699.66,,,01-11
003041,真爱美家,0.5,,7.53,6.8,-0.25,3715.49,,,01-11
688226,威腾电气,0.08,,4.88,1.68,0.15,951.11,,,01-07
605398,新炬网络,1.16,12.62,,15.01,,5197.86,13.42,,01-07
688239,航宇科技,0.29,,4.86,5.8,0.69,3051.33,,,01-07
688613,奥精医疗,0.1,,5.43,1.86,-0.07,1002.3,,,01-06
001212,中旗新材,0.76,,7.75,9.74,1.14,5193.06,,,01-04
688697,纽威数控,0.22,,1.83,13.01,0.21,5470.84,,,12-31
001213,中铁特货,0.04,,3.9,1.08,0.25,16664.9,,,12-29
600955,维远股份,0.47,,4.11,12.26,1.1,19564.97,,,12-29
605005,合兴股份,0.17,,2.67,6.59,0.3,6221.1,,,12-29
001215,千味央厨,0.38,,8.3,4.68,-0.12,2423.58,,,12-29
003032,传智教育,-0.08,-134.78,2.07,-4.02,-0.26,-3076.7,-136.7,,12-23
688097,博众精工,,,,,,-18910.91,-293.41,,12-23
605488,福莱新材,0.38,,4.46,8.9,0.33,3421.76,,,12-22
003033,征和工业,0.9,,7.11,13.54,1.12,5526.31,,,12-22
688711,宏微科技,0.16,13.0,2.91,6.66,0.26,1062.37,16.26,,12-22
301010,晶雪节能,0.1,,6.25,1.6,0.08,802.88,,,12-22
688103,国力股份,0.13,,6.46,2.02,0.03,924.7,,,12-17
605588,冠石科技,0.7,,5.86,12.77,0.03,3847.32,,,12-16
001203,大中矿业,0.08,,1.36,5.84,0.11,9928.31,,,12-16
601921,浙版传媒,0.2,,3.87,5.25,0.25,40866.26,,,12-16
605277,新亚电子,0.52,10.64,4.26,13.04,0.46,5221.37,9.84,,12-15
605155,西大门,0.48,,7.12,6.85,0.7,3453.57,,,12-15
003030,祖名股份,0.53,,5.72,9.54,0.94,4959.65,,,12-15
003031,中瓷电子,0.56,,7.62,7.69,0.65,4515.29,,,12-14
001207,联科科技,0.23,,3.41,7.04,-0.06,3155.27,,,12-11
688038,中科通达,,,,,,974.04,,,12-11
605377,华旺科技,0.61,69.44,,8.35,-0.04,9375.55,69.28,,12-09
688786,悦安新材,0.31,,4.31,7.51,0.22,1996.03,,,12-09
688383,新益昌,0.55,,6.66,8.69,0.55,4250.62,,,12-09
688619,罗普特,0.01,,3.35,0.43,-0.42,202.83,,,12-09
301061,匠心家居,1.46,,12.39,12.57,1.72,8781.88,,,12-09
605167,利柏特,0.09,,,4.17,0.17,3053.43,,,12-08
605179,一鸣食品,0.17,-32.0,2.12,8.35,0.07,5763.04,-31.76,,12-08
